,日付け,oil_price,stock_price
0,2020年12月30日,48.4,27444.17
1,2020年12月29日,48.0,27568.15
2,2020年12月28日,47.62,26854.03
3,2020年12月24日,48.23,26668.35
4,2020年12月23日,48.12,26524.79
5,2020年12月22日,47.02,26436.39
6,2020年12月21日,47.74,26714.42
7,2020年12月18日,49.1,26763.39
8,2020年12月17日,48.36,26806.67
9,2020年12月16日,47.82,26757.40
10,2020年12月15日,47.62,26687.84
11,2020年12月14日,46.99,26732.44
12,2020年12月11日,46.57,26652.52
13,2020年12月10日,46.78,26756.24
14,2020年12月09日,45.52,26817.94
15,2020年12月08日,45.6,26467.08
16,2020年12月07日,45.76,26547.44
17,2020年12月04日,46.26,26751.24
18,2020年12月03日,45.64,26809.37
19,2020年12月02日,45.28,26800.98
20,2020年12月01日,44.55,26787.54
21,2020年11月30日,45.34,26433.62
22,2020年11月27日,45.53,26644.71
23,2020年11月26日,44.98,26537.31
24,2020年11月25日,45.71,26296.86
25,2020年11月24日,44.91,26165.59
26,2020年11月20日,42.15,25527.37
27,2020年11月19日,41.74,25634.34
28,2020年11月18日,41.82,25728.14
29,2020年11月17日,41.43,26014.62
30,2020年11月16日,41.34,25906.93
31,2020年11月13日,40.13,25385.87
32,2020年11月12日,41.12,25520.88
33,2020年11月11日,41.45,25349.60
34,2020年11月10日,41.36,24905.59
35,2020年11月09日,40.29,24839.84
36,2020年11月06日,37.14,24325.23
37,2020年11月05日,38.79,24105.28
38,2020年11月04日,39.15,23695.23
39,2020年11月02日,36.81,23295.48
40,2020年10月30日,35.79,22977.13
41,2020年10月29日,36.17,23331.94
42,2020年10月28日,37.39,23418.51
43,2020年10月27日,39.57,23485.80
44,2020年10月26日,38.56,23494.34
45,2020年10月23日,39.85,23516.59
46,2020年10月22日,40.64,23474.27
47,2020年10月21日,40.03,23639.46
48,2020年10月20日,41.46,23567.04
49,2020年10月19日,40.83,23671.13
50,2020年10月16日,40.88,23410.63
51,2020年10月15日,40.96,23507.23
52,2020年10月14日,41.04,23626.73
53,2020年10月13日,40.2,23601.78
54,2020年10月12日,39.43,23558.69
55,2020年10月09日,40.6,23619.69
56,2020年10月08日,41.19,23647.07
57,2020年10月07日,39.95,23422.82
58,2020年10月06日,40.67,23433.73
59,2020年10月05日,39.22,23312.14
60,2020年10月02日,37.05,23029.90
61,2020年10月01日,38.72,23185.12
62,2020年09月30日,40.22,23185.12
63,2020年09月29日,39.29,23539.10
64,2020年09月28日,40.6,23511.62
65,2020年09月25日,40.25,23204.62
66,2020年09月24日,40.31,23087.82
67,2020年09月23日,39.93,23346.49
68,2020年09月18日,41.11,23360.30
69,2020年09月17日,40.97,23319.37
70,2020年09月16日,40.16,23475.53
71,2020年09月15日,38.28,23454.89
72,2020年09月14日,37.26,23559.30
73,2020年09月11日,37.33,23406.49
74,2020年09月10日,37.3,23235.47
75,2020年09月09日,38.05,23032.54
76,2020年09月08日,36.76,23274.13
77,2020年09月07日,39.2,23089.95
78,2020年09月04日,39.77,23205.43
79,2020年09月03日,41.37,23465.53
80,2020年09月02日,41.51,23247.15
81,2020年09月01日,42.76,23138.07
82,2020年08月31日,42.61,23139.76
83,2020年08月28日,42.97,22882.65
84,2020年08月27日,43.04,23208.86
85,2020年08月26日,43.39,23290.86
86,2020年08月25日,43.35,23296.77
87,2020年08月24日,42.62,22985.51
88,2020年08月21日,42.34,22920.30
89,2020年08月20日,42.58,22880.62
90,2020年08月19日,42.93,23110.61
91,2020年08月18日,42.89,23051.08
92,2020年08月17日,42.89,23096.75
93,2020年08月14日,42.01,23289.36
94,2020年08月13日,42.24,23249.61
95,2020年08月12日,42.67,22843.96
96,2020年08月11日,41.61,22750.24
97,2020年08月07日,41.22,22329.94
98,2020年08月06日,41.95,22418.15
99,2020年08月05日,42.19,22514.85
100,2020年08月04日,41.7,22573.66
101,2020年08月03日,41.01,22195.38
102,2020年07月31日,40.27,21710.00
103,2020年07月30日,39.92,22339.23
104,2020年07月29日,41.27,22397.11
105,2020年07月28日,41.04,22657.38
106,2020年07月27日,41.6,22715.85
107,2020年07月22日,41.9,22751.61
108,2020年07月21日,41.96,22884.22
109,2020年07月20日,40.81,22717.48
110,2020年07月17日,40.59,22696.42
111,2020年07月16日,40.75,22770.36
112,2020年07月15日,41.2,22945.50
113,2020年07月14日,40.29,22587.01
114,2020年07月13日,40.1,22784.74
115,2020年07月10日,40.55,22290.81
116,2020年07月09日,39.62,22529.29
117,2020年07月08日,40.9,22438.65
118,2020年07月07日,40.62,22614.69
119,2020年07月06日,40.63,22714.44
120,2020年07月03日,40.28,22306.48
121,2020年07月02日,40.65,22145.96
122,2020年07月01日,39.82,22121.73
123,2020年06月30日,39.27,22288.14
124,2020年06月29日,39.7,21995.04
125,2020年06月26日,38.49,22512.08
126,2020年06月25日,38.72,22259.79
127,2020年06月24日,38.01,22534.32
128,2020年06月23日,40.37,22549.05
129,2020年06月22日,40.46,22437.27
130,2020年06月19日,39.75,22478.79
131,2020年06月18日,38.84,22355.46
132,2020年06月17日,37.96,22455.76
133,2020年06月16日,38.38,22582.21
134,2020年06月15日,37.12,21530.95
135,2020年06月12日,36.26,22305.48
136,2020年06月11日,36.34,22472.91
137,2020年06月10日,39.6,23124.95
138,2020年06月09日,38.94,23091.03
139,2020年06月08日,38.19,23178.10
140,2020年06月05日,39.55,22863.73
141,2020年06月04日,37.41,22695.74
142,2020年06月03日,37.29,22613.76
143,2020年06月02日,36.81,22325.61
144,2020年06月01日,35.44,22062.39
145,2020年05月29日,35.49,21877.89
146,2020年05月28日,33.71,21916.31
147,2020年05月27日,32.81,21419.23
148,2020年05月26日,34.35,21271.17
149,2020年05月25日,33.92,20741.65
150,2020年05月22日,33.25,20388.16
151,2020年05月21日,33.92,20552.31
152,2020年05月20日,33.49,20595.15
153,2020年05月19日,32.5,20433.45
154,2020年05月18日,31.82,20133.73
155,2020年05月15日,29.43,20037.47
156,2020年05月14日,27.56,19914.78
157,2020年05月13日,25.29,20267.05
158,2020年05月12日,25.78,20366.48
159,2020年05月11日,24.14,20390.66
160,2020年05月08日,24.74,20179.09
161,2020年05月07日,23.55,19674.77
162,2020年05月01日,19.78,19619.35
163,2020年04月30日,18.84,20193.69
164,2020年04月28日,12.34,19771.19
165,2020年04月27日,12.78,19783.22
166,2020年04月24日,16.94,19262.00
167,2020年04月23日,16.5,19429.44
168,2020年04月22日,13.78,19137.95
169,2020年04月21日,10.01,19280.78
170,2020年04月20日,-37.63,19669.12
171,2020年04月17日,18.27,19897.26
172,2020年04月16日,19.87,19290.20
173,2020年04月15日,19.87,19550.09
174,2020年04月14日,20.11,19638.81
175,2020年04月13日,22.41,19043.40
176,2020年04月09日,22.76,19345.77
177,2020年04月08日,25.09,19353.24
178,2020年04月07日,23.63,18950.18
179,2020年04月06日,26.08,18576.30
180,2020年04月03日,28.34,17820.19
181,2020年04月02日,25.32,17818.72
182,2020年04月01日,20.31,18065.41
183,2020年03月31日,20.48,18917.01
184,2020年03月30日,20.09,19084.97
185,2020年03月27日,21.51,19389.43
186,2020年03月26日,22.6,18664.60
187,2020年03月25日,24.49,19546.63
188,2020年03月24日,24.01,18092.35
189,2020年03月23日,23.36,16887.78
190,2020年03月19日,25.22,16552.83
191,2020年03月18日,20.37,16726.55
192,2020年03月17日,26.95,17011.53
193,2020年03月16日,28.7,17002.04
194,2020年03月13日,31.73,17431.05
195,2020年03月12日,31.5,18559.63
196,2020年03月11日,32.98,19416.06
197,2020年03月10日,34.36,19867.12
198,2020年03月09日,31.13,19698.76
199,2020年03月06日,41.28,20749.75
200,2020年03月05日,45.9,21329.12
201,2020年03月04日,46.78,21100.06
202,2020年03月03日,47.18,21082.73
203,2020年03月02日,46.75,21344.08
204,2020年02月28日,44.76,21142.96
205,2020年02月27日,47.09,21948.23
206,2020年02月26日,48.73,22426.19
207,2020年02月25日,49.9,22605.41
208,2020年02月21日,53.38,23386.74
209,2020年02月20日,53.78,23479.15
210,2020年02月19日,53.29,23400.70
211,2020年02月18日,52.05,23193.80
212,2020年02月17日,52.2,23523.24
213,2020年02月14日,52.05,23687.59
214,2020年02月13日,51.42,23827.73
215,2020年02月12日,51.17,23861.21
216,2020年02月10日,49.57,23685.98
217,2020年02月07日,50.32,23827.98
218,2020年02月06日,50.95,23873.59
219,2020年02月05日,50.75,23319.56
220,2020年02月04日,49.61,23084.59
221,2020年02月03日,50.11,22971.94
222,2020年01月31日,51.56,23205.18
223,2020年01月30日,52.14,22977.75
224,2020年01月29日,53.33,23379.40
225,2020年01月28日,53.48,23215.71
226,2020年01月27日,53.14,23343.51
227,2020年01月24日,54.19,23827.18
228,2020年01月23日,55.59,23795.44
229,2020年01月22日,56.74,24031.35
230,2020年01月21日,58.34,23864.56
231,2020年01月20日,58.73,24083.51
232,2020年01月17日,58.54,24041.26
233,2020年01月16日,58.52,23933.13
234,2020年01月15日,57.81,23916.58
235,2020年01月14日,58.23,24025.17
236,2020年01月10日,59.04,23850.57
237,2020年01月09日,59.56,23739.87
238,2020年01月08日,59.61,23204.76
239,2020年01月07日,62.7,23575.72
240,2020年01月06日,63.27,23204.86
241,2019年12月30日,61.68,23656.62
242,2019年12月27日,61.72,23837.72
243,2019年12月26日,61.68,23924.92
244,2019年12月25日,61.19,23782.87
245,2019年12月24日,61.11,23830.58
246,2019年12月23日,60.52,23821.11
247,2019年12月20日,60.44,23816.63
248,2019年12月19日,61.22,23864.85
249,2019年12月18日,60.93,23934.43
250,2019年12月17日,60.94,24066.12
251,2019年12月16日,60.21,23952.35
252,2019年12月13日,60.07,24023.10
253,2019年12月12日,59.18,23424.81
254,2019年12月11日,58.76,23391.86
255,2019年12月10日,59.24,23410.19
256,2019年12月09日,59.02,23430.70
257,2019年12月06日,59.2,23354.40
258,2019年12月05日,58.43,23300.09
259,2019年12月04日,58.43,23135.23
260,2019年12月03日,56.1,23379.81
261,2019年12月02日,55.96,23529.50
262,2019年11月29日,55.17,23293.91
263,2019年11月28日,58.08,23409.14
264,2019年11月27日,58.11,23437.77
265,2019年11月26日,58.41,23373.32
266,2019年11月25日,58.01,23292.81
267,2019年11月22日,57.77,23112.88
268,2019年11月21日,58.58,23038.58
269,2019年11月20日,57.11,23148.57
270,2019年11月19日,55.21,23292.65
271,2019年11月18日,57.05,23416.76
272,2019年11月15日,57.72,23303.32
273,2019年11月14日,56.77,23141.55
274,2019年11月13日,57.12,23319.87
275,2019年11月12日,56.8,23520.01
276,2019年11月11日,56.86,23331.84
277,2019年11月08日,57.24,23391.87
278,2019年11月07日,57.15,23330.32
279,2019年11月06日,56.35,23303.82
280,2019年11月05日,57.23,23251.99
281,2019年11月01日,56.2,22850.77
282,2019年10月31日,54.18,22927.04
283,2019年10月30日,55.06,22843.12
284,2019年10月29日,55.54,22974.13
285,2019年10月28日,55.81,22867.27
286,2019年10月25日,56.66,22799.81
287,2019年10月24日,56.23,22750.60
288,2019年10月23日,55.97,22625.38
289,2019年10月21日,53.31,22548.90
290,2019年10月18日,53.78,22492.68
291,2019年10月17日,53.93,22451.86
292,2019年10月16日,53.36,22472.92
293,2019年10月15日,52.81,22207.21
294,2019年10月11日,54.7,21798.87
295,2019年10月10日,53.55,21551.98
296,2019年10月09日,52.59,21456.38
297,2019年10月08日,52.63,21587.78
298,2019年10月07日,52.75,21375.25
299,2019年10月04日,52.81,21410.20
300,2019年10月03日,52.45,21341.74
301,2019年10月02日,52.64,21778.61
302,2019年10月01日,53.62,21885.24
303,2019年09月30日,54.07,21755.84
304,2019年09月27日,55.91,21878.90
305,2019年09月26日,56.41,22048.24
306,2019年09月25日,56.49,22020.15
307,2019年09月24日,57.29,22098.84
308,2019年09月20日,58.09,22079.09
309,2019年09月19日,58.13,22044.45
310,2019年09月18日,58.11,21960.71
311,2019年09月17日,59.34,22001.32
312,2019年09月13日,54.85,21988.29
313,2019年09月12日,55.09,21759.61
314,2019年09月11日,55.75,21597.76
315,2019年09月10日,57.4,21392.10
316,2019年09月09日,57.85,21318.42
317,2019年09月06日,56.52,21199.57
318,2019年09月05日,56.3,21085.94
319,2019年09月04日,56.26,20649.14
320,2019年09月03日,53.94,20625.16
321,2019年09月02日,54.66,20620.19
322,2019年08月30日,55.1,20704.37
323,2019年08月29日,56.71,20460.93
324,2019年08月28日,55.78,20479.42
325,2019年08月27日,54.93,20456.08
326,2019年08月26日,53.64,20261.04
327,2019年08月23日,54.17,20710.91
328,2019年08月22日,55.35,20628.01
329,2019年08月21日,55.68,20618.57
330,2019年08月20日,56.34,20677.22
331,2019年08月19日,56.21,20563.16
332,2019年08月16日,54.87,20418.81
333,2019年08月15日,54.47,20405.65
334,2019年08月14日,55.23,20655.13
335,2019年08月13日,57.1,20455.44
336,2019年08月09日,54.5,20684.82
337,2019年08月08日,52.54,20593.35
338,2019年08月07日,51.09,20516.56
339,2019年08月06日,53.63,20585.31
340,2019年08月05日,54.69,20720.29
341,2019年08月02日,55.66,21087.16
342,2019年08月01日,53.95,21540.99
343,2019年07月31日,58.58,21521.53
344,2019年07月30日,58.05,21709.31
345,2019年07月29日,56.87,21616.80
346,2019年07月26日,56.2,21658.15
347,2019年07月25日,56.02,21756.55
348,2019年07月24日,55.88,21709.57
349,2019年07月23日,56.77,21620.88
350,2019年07月22日,56.22,21416.79
351,2019年07月19日,55.63,21466.99
352,2019年07月18日,55.3,21046.24
353,2019年07月17日,56.78,21469.18
354,2019年07月16日,57.62,21535.25
355,2019年07月12日,60.21,21685.90
356,2019年07月11日,60.2,21643.53
357,2019年07月10日,60.43,21533.48
358,2019年07月09日,57.83,21565.15
359,2019年07月08日,57.66,21534.35
360,2019年07月05日,57.51,21746.38
361,2019年07月04日,56.8,21702.45
362,2019年07月03日,57.34,21638.16
363,2019年07月02日,56.25,21754.27
364,2019年07月01日,59.09,21729.97
365,2019年06月28日,58.47,21275.92
366,2019年06月27日,59.43,21338.17
367,2019年06月26日,59.38,21086.59
368,2019年06月25日,57.83,21193.81
369,2019年06月24日,57.9,21285.99
370,2019年06月21日,57.43,21258.64
371,2019年06月20日,56.65,21462.86
372,2019年06月19日,53.76,21333.87
373,2019年06月18日,53.9,20972.71
374,2019年06月17日,51.93,21124.00
375,2019年06月14日,52.51,21116.89
376,2019年06月13日,52.28,21032.00
377,2019年06月12日,51.14,21129.72
378,2019年06月11日,53.27,21204.28
379,2019年06月10日,53.26,21134.42
380,2019年06月07日,53.99,20884.71
381,2019年06月06日,52.59,20774.04
382,2019年06月05日,51.68,20776.10
383,2019年06月04日,53.48,20408.54
384,2019年06月03日,53.25,20410.88
385,2019年05月31日,53.5,20601.19
386,2019年05月30日,56.59,20942.53
387,2019年05月29日,58.81,21003.37
388,2019年05月28日,59.14,21260.14
389,2019年05月27日,59.16,21182.58
390,2019年05月24日,58.63,21117.22
391,2019年05月23日,57.91,21151.14
392,2019年05月22日,61.42,21283.37
393,2019年05月21日,62.99,21272.45
394,2019年05月20日,63.1,21301.73
395,2019年05月17日,62.76,21250.09
396,2019年05月16日,62.87,21062.98
397,2019年05月15日,62.02,21188.56
398,2019年05月14日,61.78,21067.23
399,2019年05月13日,61.04,21191.28
400,2019年05月10日,61.66,21344.92
401,2019年05月09日,61.7,21402.13
402,2019年05月08日,62.12,21602.59
403,2019年05月07日,61.4,21923.72
404,2019年04月26日,63.3,22258.73
405,2019年04月25日,65.21,22307.58
406,2019年04月24日,65.89,22200.00
407,2019年04月23日,66.3,22259.74
408,2019年04月22日,65.7,22217.90
409,2019年04月18日,64.0,22090.12
410,2019年04月17日,63.76,22277.97
411,2019年04月16日,64.05,22221.66
412,2019年04月15日,63.4,22169.11
413,2019年04月12日,63.89,21870.56
414,2019年04月11日,63.58,21711.38
415,2019年04月10日,64.61,21687.57
416,2019年04月09日,63.98,21802.59
417,2019年04月08日,64.4,21761.65
418,2019年04月05日,63.08,21807.50
419,2019年04月04日,62.1,21724.95
420,2019年04月03日,62.46,21713.21
421,2019年04月02日,62.58,21505.31
422,2019年04月01日,61.59,21509.03
423,2019年03月29日,60.14,21205.81
424,2019年03月28日,59.3,21033.76
425,2019年03月27日,59.41,21378.73
426,2019年03月26日,59.94,21428.39
427,2019年03月25日,58.82,20977.11
428,2019年03月22日,59.04,21627.34
429,2019年03月20日,59.83,21608.92
430,2019年03月19日,59.03,21566.85
431,2019年03月18日,59.09,21584.50
432,2019年03月15日,58.52,21450.85
433,2019年03月14日,58.61,21287.02
434,2019年03月13日,58.26,21290.24
435,2019年03月12日,56.87,21503.69
436,2019年03月11日,56.79,21125.09
437,2019年03月08日,56.07,21025.56
438,2019年03月07日,56.66,21456.01
439,2019年03月06日,56.22,21596.81
440,2019年03月05日,56.56,21726.28
441,2019年03月04日,56.59,21822.04
442,2019年03月01日,55.8,21602.69
443,2019年02月28日,57.22,21385.16
444,2019年02月27日,56.94,21556.51
445,2019年02月26日,55.5,21449.39
446,2019年02月25日,55.48,21528.23
447,2019年02月22日,57.26,21425.51
448,2019年02月21日,56.96,21464.23
449,2019年02月20日,56.92,21431.49
450,2019年02月19日,56.09,21302.65
451,2019年02月18日,56.27,21281.85
452,2019年02月15日,55.59,20900.63
453,2019年02月14日,54.41,21139.71
454,2019年02月13日,53.9,21144.48
455,2019年02月12日,53.1,20864.21
456,2019年02月08日,52.72,20333.17
457,2019年02月07日,52.64,20751.28
458,2019年02月06日,54.01,20874.06
459,2019年02月05日,53.66,20844.45
460,2019年02月04日,54.56,20883.77
461,2019年02月01日,55.26,20788.39
462,2019年01月31日,53.79,20773.49
463,2019年01月30日,54.23,20556.54
464,2019年01月29日,53.31,20664.64
465,2019年01月28日,51.99,20649.00
466,2019年01月25日,53.69,20773.56
467,2019年01月24日,53.13,20574.63
468,2019年01月23日,52.62,20593.72
469,2019年01月22日,52.57,20622.91
470,2019年01月21日,54.24,20719.33
471,2019年01月18日,53.8,20666.07
472,2019年01月17日,52.07,20402.27
473,2019年01月16日,52.31,20442.75
474,2019年01月15日,52.11,20555.29
475,2019年01月11日,51.59,20359.70
476,2019年01月10日,52.59,20163.80
477,2019年01月09日,52.36,20427.06
478,2019年01月08日,49.78,20204.04
479,2019年01月07日,48.52,20038.97
480,2019年01月04日,47.96,19561.96
481,2018年12月28日,45.33,20014.77
482,2018年12月27日,44.61,20077.62
483,2018年12月26日,46.22,19327.06
484,2018年12月25日,43.16,19155.74
485,2018年12月21日,45.59,20166.19
486,2018年12月20日,45.88,20392.58
487,2018年12月19日,47.2,20987.92
488,2018年12月18日,46.24,21115.45
489,2018年12月17日,49.88,21506.88
490,2018年12月14日,51.2,21374.83
491,2018年12月13日,52.58,21816.19
492,2018年12月12日,51.15,21602.75
493,2018年12月11日,51.65,21148.02
494,2018年12月10日,51.0,21219.50
495,2018年12月07日,52.61,21678.68
496,2018年12月06日,51.49,21501.62
497,2018年12月05日,52.89,21919.33
498,2018年12月04日,53.25,22036.05
499,2018年12月03日,52.95,22574.76
500,2018年11月30日,50.93,22351.06
501,2018年11月29日,51.45,22262.60
502,2018年11月28日,50.29,22177.02
503,2018年11月27日,51.56,21952.40
504,2018年11月26日,51.63,21812.00
505,2018年11月22日,54.02,21646.55
506,2018年11月21日,54.63,21507.54
507,2018年11月20日,53.43,21583.12
508,2018年11月19日,56.76,21821.16
509,2018年11月16日,56.46,21680.34
510,2018年11月15日,56.46,21803.62
511,2018年11月14日,56.25,21846.48
512,2018年11月13日,55.69,21810.52
513,2018年11月12日,59.93,22269.88
514,2018年11月09日,60.19,22250.25
515,2018年11月08日,60.67,22486.92
516,2018年11月07日,61.67,22085.80
517,2018年11月06日,62.21,22147.75
518,2018年11月05日,63.1,21898.99
519,2018年11月02日,63.14,22243.66
520,2018年11月01日,63.69,21687.65
521,2018年10月31日,65.31,21920.46
522,2018年10月30日,66.18,21457.29
523,2018年10月29日,67.04,21149.80
524,2018年10月26日,67.59,21184.60
525,2018年10月25日,67.33,21268.73
526,2018年10月24日,66.82,22091.18
527,2018年10月23日,66.43,22010.78
528,2018年10月22日,69.17,22614.82
529,2018年10月19日,69.12,22532.08
530,2018年10月18日,68.65,22658.16
531,2018年10月17日,69.75,22841.12
532,2018年10月16日,71.92,22549.24
533,2018年10月15日,71.78,22271.30
534,2018年10月12日,71.34,22694.66
535,2018年10月11日,70.97,22590.86
536,2018年10月10日,73.17,23506.04
537,2018年10月09日,74.96,23469.39
538,2018年10月05日,74.34,23783.72
539,2018年10月04日,74.33,23975.62
540,2018年10月03日,76.41,24110.96
541,2018年10月02日,75.23,24270.62
542,2018年10月01日,75.3,24245.76
543,2018年09月28日,73.25,24120.04
544,2018年09月27日,72.12,23796.74
545,2018年09月26日,71.57,24033.79
546,2018年09月25日,72.28,23940.26
547,2018年09月21日,70.78,23869.93
548,2018年09月20日,70.8,23674.93
549,2018年09月19日,71.12,23672.52
550,2018年09月18日,69.85,23420.54
551,2018年09月14日,68.99,23094.67
552,2018年09月13日,68.59,22821.32
553,2018年09月12日,70.37,22604.61
554,2018年09月11日,69.25,22664.69
555,2018年09月10日,67.54,22373.09
556,2018年09月07日,67.75,22307.06
557,2018年09月06日,67.77,22487.94
558,2018年09月05日,68.72,22580.83
559,2018年09月04日,69.87,22696.90
560,2018年09月03日,70.12,22707.38
561,2018年08月31日,69.8,22865.15
562,2018年08月30日,70.25,22869.50
563,2018年08月29日,69.51,22848.22
564,2018年08月28日,68.53,22813.47
565,2018年08月27日,68.87,22799.64
566,2018年08月24日,68.72,22601.77
567,2018年08月23日,67.83,22410.82
568,2018年08月22日,67.86,22362.55
569,2018年08月21日,67.35,22219.73
570,2018年08月20日,66.43,22199.00
571,2018年08月17日,65.91,22270.38
572,2018年08月16日,65.46,22192.04
573,2018年08月15日,65.01,22204.22
574,2018年08月14日,67.04,22356.08
575,2018年08月13日,67.2,21857.43
576,2018年08月10日,67.63,22298.08
577,2018年08月09日,66.81,22598.39
578,2018年08月08日,66.94,22644.31
579,2018年08月07日,69.17,22662.74
580,2018年08月06日,69.01,22507.32
581,2018年08月03日,68.49,22525.18
582,2018年08月02日,68.96,22512.53
583,2018年08月01日,67.66,22746.70
584,2018年07月31日,68.76,22553.72
585,2018年07月30日,70.13,22544.84
586,2018年07月27日,68.69,22712.75
587,2018年07月26日,69.61,22586.87
588,2018年07月25日,69.3,22614.25
589,2018年07月24日,68.52,22510.48
590,2018年07月23日,67.89,22396.99
591,2018年07月20日,70.46,22697.88
592,2018年07月19日,69.46,22764.68
593,2018年07月18日,68.76,22794.19
594,2018年07月17日,68.08,22697.36
595,2018年07月13日,71.01,22597.35
596,2018年07月12日,70.33,22187.96
597,2018年07月11日,70.38,21932.21
598,2018年07月10日,74.11,22196.89
599,2018年07月09日,73.85,22052.18
600,2018年07月06日,73.8,21788.14
601,2018年07月05日,72.94,21546.99
602,2018年07月04日,74.13,21717.04
603,2018年07月03日,74.14,21785.54
604,2018年07月02日,73.94,21811.93
605,2018年06月29日,74.15,22304.51
606,2018年06月28日,73.45,22270.39
607,2018年06月27日,72.76,22271.77
608,2018年06月26日,70.53,22342.00
609,2018年06月25日,68.08,22338.15
610,2018年06月22日,68.58,22516.83
611,2018年06月21日,65.54,22693.04
612,2018年06月20日,66.22,22555.43
613,2018年06月19日,65.07,22278.48
614,2018年06月18日,65.85,22680.33
615,2018年06月15日,65.06,22851.75
616,2018年06月14日,66.89,22738.61
617,2018年06月13日,66.64,22966.38
